joint,time,angle_type,angle_deg
Body,5.6,yaw,-82.96318505
Body,5.63333,yaw,-81.94078855
Body,5.66667,yaw,-80.96521683
Body,5.7,yaw,-80.4802158
Body,5.73333,yaw,-80.98100109
Body,5.76667,yaw,-81.8316496
Body,5.8,yaw,-83.24974606
Body,5.83333,yaw,-85.02956544
Body,5.86667,yaw,-87.21988462
Body,5.9,yaw,-89.26376001
Body,5.93333,yaw,-91.42578886
Body,5.96667,yaw,-92.75868496
Body,6,yaw,-93.10975439
Body,6.03333,yaw,-92.86946394
Body,6.06667,yaw,-92.68251995
Body,6.1,yaw,-92.48299611
Body,6.13333,yaw,-92.08659565
Body,6.16667,yaw,-91.52887216
Body,6.2,yaw,-91.14986658
Body,6.23333,yaw,-91.69859894
Body,6.26667,yaw,-92.53763493
Body,6.3,yaw,-92.50272292
Body,6.33333,yaw,-91.80540803
Body,6.36667,yaw,-90.93949802
Body,6.4,yaw,-89.8747577
Body,6.43333,yaw,-88.82951127
Body,6.46667,yaw,-87.64569054
Head,0,roll,0
Head,0.0333333,roll,1.869217786
Head,0.0666667,roll,1.126261966
Head,0.1,roll,0.8766988903
Head,0.133333,roll,0.7166063688
Head,0.166667,roll,0.6221413295
Head,0.2,roll,0.5823439568
Head,0.233333,roll,0.572204282
Head,0.266667,roll,0.79161276
Head,0.3,roll,0.6815114746
Head,0.333333,roll,0.8187659872
Head,0.366667,roll,0.833317662
Head,0.4,roll,0.9181792144
Head,0.433333,roll,0.941660186
Head,0.466667,roll,0.980537594
Head,0.5,roll,0.9409683448
Head,0.533333,roll,0.9249817705
Head,0.566667,roll,0.9052979797
Head,0.6,roll,0.8610711533
Head,0.633333,roll,0.8965225667
Head,0.666667,roll,0.9184839087
Head,0.7,roll,0.9134708197
Head,0.733333,roll,0.8430662489
Head,0.766667,roll,0.8721343504
Head,0.8,roll,0.9064033452
Head,0.833333,roll,0.9585558305
Head,0.866667,roll,1.048170425
Head,0.9,roll,1.065102162
Head,0.933333,roll,1.073703679
Head,0.966667,roll,1.124202937
Head,1,roll,1.231660143
Head,1.03333,roll,1.213163635
Head,1.06667,roll,1.260367472
Head,1.1,roll,1.305681106
Head,1.13333,roll,1.210650693
Head,1.16667,roll,1.276933436
Head,1.2,roll,1.187037342
Head,1.23333,roll,1.248976205
Head,1.26667,roll,1.268573363
Head,1.3,roll,1.260286045
Head,1.33333,roll,1.236741111
Head,1.36667,roll,1.234324394
Head,1.4,roll,1.232915936
Head,1.43333,roll,1.185200424
Head,1.46667,roll,1.178287483
Head,1.5,roll,1.157522574
Head,1.53333,roll,1.101546422
Head,1.56667,roll,1.087664902
Head,1.6,roll,1.107046633
Head,1.63333,roll,1.10999187
Head,1.66667,roll,0.9934328335
Head,1.7,roll,1.079667233
Head,1.73333,roll,1.019424295
Head,1.76667,roll,0.9638695189
Head,1.8,roll,0.9328202347
Head,1.83333,roll,0.8756358006
Head,1.86667,roll,0.9588419385
Head,1.9,roll,1.103261093
Head,1.93333,roll,1.048804882
Head,1.96667,roll,0.7779740739
Head,2,roll,0.2564684786
Head,2.03333,roll,-0.7669398334
Head,2.06667,roll,-1.941619556
Head,2.1,roll,-2.95375119
Head,2.13333,roll,-3.945952421
Head,2.16667,roll,-5.003436077
Head,2.2,roll,-6.254635181
Head,2.23333,roll,-7.396322045
Head,2.26667,roll,-8.065906906
Head,2.3,roll,-8.182929881
Head,2.33333,roll,-8.179289481
Head,2.36667,roll,-8.396780679
Head,2.4,roll,-8.80082853
Head,2.43333,roll,-9.194561516
Head,2.46667,roll,-9.621063392
Head,2.5,roll,-9.751255771
Head,2.53333,roll,-9.594215034
Head,2.56667,roll,-9.048704083
Head,2.6,roll,-9.287542334
Head,2.63333,roll,-10.39663843
Head,2.66667,roll,-10.81822257
Head,2.7,roll,-11.34109644
Head,2.73333,roll,-10.92096727
Head,2.76667,roll,-9.7823812
Head,2.8,roll,-8.651148435
Head,2.83333,roll,-8.161125228
Head,2.86667,roll,-7.754787567
Head,2.9,roll,-7.240850117
Head,2.93333,roll,-6.615066422
Head,2.96667,roll,-5.890504572
Head,3,roll,-5.081160561
Head,3.03333,roll,-4.071522918
Head,3.06667,roll,-3.263158421
Head,3.1,roll,-3.044533839
Head,3.13333,roll,-3.0845819
Head,3.16667,roll,-3.367144122
Head,3.2,roll,-4.614627673
Head,3.23333,roll,-7.14467111
Head,3.26667,roll,-10.10171347
Head,3.3,roll,-12.53240396
Head,3.33333,roll,-13.5992483
Head,3.36667,roll,-11.70024082
Head,3.4,roll,-6.863474089
Head,3.43333,roll,-1.737361765
Head,3.46667,roll,2.159769293
Head,3.5,roll,5.456516148
Head,3.53333,roll,7.278213174
Head,3.56667,roll,7.02556215
Head,3.6,roll,6.653902052
Head,3.63333,roll,5.883289662
Head,3.66667,roll,4.095752025
Head,3.7,roll,1.275759278
Head,3.73333,roll,-1.650459806
Head,3.76667,roll,-3.510623038
Head,3.8,roll,-4.202901157
Head,3.83333,roll,-4.829467832
Head,3.86667,roll,-5.42297508
Head,3.9,roll,-7.779560332
Head,3.93333,roll,-11.69435219
Head,3.96667,roll,-14.05203324
Head,4,roll,-12.53128847
Head,4.03333,roll,-8.821912266
Head,4.06667,roll,-5.776589461
Head,4.1,roll,-3.243546842
Head,4.13333,roll,-2.363543719
Head,4.16667,roll,-3.097801126
Head,4.2,roll,-4.59676206
Head,4.23333,roll,-5.910150616
Head,4.26667,roll,-6.310830886
Head,4.3,roll,-6.296201496
Head,4.33333,roll,-6.533968435
Head,4.36667,roll,-6.521364934
Head,4.4,roll,-6.082796116
Head,4.43333,roll,-5.777606383
Head,4.46667,roll,-5.737499433
Head,4.5,roll,-4.95385964
Head,4.53333,roll,-5.034833896
Head,4.56667,roll,-5.378560904
Head,4.6,roll,-5.078211202
Head,4.63333,roll,-3.915303765
Head,4.66667,roll,-2.464664654
Head,4.7,roll,-1.474770859
Head,4.73333,roll,0.9499926637
Head,4.76667,roll,2.149834432
Head,4.8,roll,0.07657477558
Head,4.83333,roll,-0.06909740439
Head,4.86667,roll,0.4813313883
Head,4.9,roll,-0.02947178278
Head,4.93333,roll,-1.219969121
Head,4.96667,roll,-1.8504363
Head,5,roll,-2.67296437
Head,5.03333,roll,-3.340018327
Head,5.06667,roll,-4.33505975
Head,5.1,roll,-5.064363226
Head,5.13333,roll,-5.408476105
Head,5.16667,roll,-5.169981981
Head,5.2,roll,-5.277358963
Head,5.23333,roll,-5.076315247
Head,5.26667,roll,-3.927829619
Head,5.3,roll,-3.151494184
Head,5.33333,roll,-1.648609786
Head,5.36667,roll,-0.07935353733
Head,5.4,roll,1.220944842
Head,5.43333,roll,2.362020457
Head,5.46667,roll,3.296643356
Head,5.5,roll,4.377936602
Head,5.53333,roll,5.557948266
Head,5.56667,roll,6.583377129
Head,5.6,roll,7.411703075
Head,5.63333,roll,7.791176914
Head,5.66667,roll,7.480228372
Head,5.7,roll,6.727573204
Head,5.73333,roll,5.18228548
Head,5.76667,roll,3.409472378
